id,AmountC_elevated,AmountN_elevated,CN_elevated,d13C_elevated,d15N_elevated,AmountC_ambient,AmountN_ambient,CN_ambient,d13C_ambient,d15N_ambient,AmountC_subamb,AmountN_subamb,CN_subamb,d13C_subamb,d15N_subamb,AmountC_high,AmountC_low,AmountN_high,AmountN_low,CN_high,CN_low,d13C_high,d13C_low,d15N_high,d15N_low,AmountC,AmountN,CN,d13C,d15N
RIL001,1341.48029337867,82.2955013450834,16.3007730854393,-43.5892768786021,0.457646211020466,1376.32752534381,85.9728935369235,16.008854287924,-37.8355684058344,-0.288467815980728,1536.12190354679,79.0895947289785,19.4225537355543,-33.5496081121557,-1.51478733826493,-34.8472319651401,159.79437820298,-3.6773921918401,-6.883298807945,0.291918797515301,3.4136994476303,-5.7537084727677,4.2859602936787,0.746114027001194,-1.2263195222842,1417.97657408976,82.4526632036618,17.2440603696392,-38.3248177988641,-0.448536314408397
RIL002,1652.94234890947,62.160431481779,NA,-43.9200164073783,0.0931364492315412,1751.85874343697,78.4800487070355,22.3223452622542,-36.676394986322,0.494887253555376,1570.18239626137,57.8849390587716,NA,-32.4709705539045,-1.05017549321871,-98.9163945275,-181.6763471756,-16.3196172252565,-20.5951096482639,NA,NA,-7.2436214210563,4.2054244324175,-0.401750804323835,-1.54506274677409,1658.32782953594,66.1751397491954,22.3223452622542,-37.6891273158683,-0.154050596810598
RIL003,1457.93837111095,79.7114176367249,18.2902075303105,-44.3049018794512,1.40094070448181,1593.58457594668,69.7230390071603,22.8559253675535,-37.9011060463597,-0.502919018938521,1586.17481547062,89.5564067966606,17.7114611026329,-33.1570547938029,-2.33944285417981,-135.64620483573,-7.40976047606,9.98837862956461,19.8333677895003,-4.565717837243,-5.1444642649206,-6.4037958330915,4.7440512525568,1.90385972342033,-1.83652383524129,1545.89925417608,79.6636211468486,19.6191980001656,-38.4543542398713,-0.48047372287884
RIL004,1476.91970966346,73.6435810349423,20.0549686599663,-43.8612635768416,2.29622681767171,1436.0302467292,73.9902724661633,19.4083654359553,-37.2095660726285,NA,NA,NA,NA,NA,NA,40.8894629342601,NA,-0.346691431221004,NA,0.646603224010999,NA,-6.6516975042131,NA,NA,NA,1456.47497819633,73.8169267505528,19.7316670479608,-40.535414824735,2.29622681767171
RIL005,1492.41784667073,106.100565139792,14.0660687782803,-43.2149013890486,0.401130355248346,1477.63641254274,91.3891749381939,16.1686153041873,-37.7618285734713,1.00540484603994,1399.31054152666,82.6929229729453,16.9217690126212,-33.5153968709848,-2.8632271409004,14.78143412799,-78.3258710160799,14.7113902015981,-8.69625196524861,-2.102546525907,0.753153708433903,-5.4530728155773,4.2464317024865,-0.604274490791594,-3.86863198694034,1456.45493358004,93.3942210169771,15.7188176983629,-38.1640422778349,-0.485563979870705
RIL006,1530.21781040479,89.0868781546185,17.1766913613131,-42.8673158034383,1.77457922946664,1542.77469755369,89.2062622518135,17.2944663144692,-38.1567085829426,-0.218594585055944,1597.99208611665,115.381097319257,13.8496870219135,-32.9541845674012,-2.46241397353957,-12.5568871488999,55.21738856296,-0.119384097194995,26.1748350674435,-0.117774953156101,-3.4447792925557,-4.7106072204957,5.2025240155414,1.99317381452258,-2.24381938848363,1556.99486469171,97.8914125752297,16.1069482325653,-37.9927363179274,-0.302143109709625
RIL007,1450.12944506906,75.5392550370481,19.1970313230896,-43.6780533209694,0.014441444250692,1371.83721721307,76.0262819023784,18.0442497368814,-36.6774435082839,-2.04358960481673,1614.41037326744,51.4375436146701,NA,-32.5662397357334,-0.93079348866605,78.2922278559899,242.57315605437,-0.487026865330307,-24.5887382877083,1.1527815862082,NA,-7.0006098126855,4.1112037725505,2.05803104906742,1.11279611615068,1478.79234518319,67.6676935180322,18.6206405299855,-37.6405788549956,-0.986647216410696
RIL008,1718.57268700983,72.5891863120868,23.6753265096688,-42.6523544316682,0.925003815571579,1618.89421908842,74.6373555361025,21.6901336798482,-37.5509887368481,1.27069677952509,1374.45548925497,82.9546517963594,16.5687572606422,-33.420131007266,-3.12011448251763,99.6784679214099,-244.43872983345,-2.04816922401571,8.3172962602569,1.9851928298206,-5.121376419206,-5.1013656948201,4.1308577295821,-0.345692963953511,-4.39081126204272,1570.64079845107,76.7270645481829,20.6447391500531,-37.8744913919274,-0.308137962473654
RIL009,1485.34824117006,70.7260707420159,21.0014245890754,-42.4725481443415,1.90966913137195,1557.52891812822,79.9125076957713,19.4904272564912,-38.6735143321449,-1.2533827702323,1560.36610224921,87.6794864988685,17.7962504635488,-33.8754255400819,-2.08040551134664,-72.1806769581601,2.83718412098983,-9.18643695375539,7.7669788030972,1.5109973325842,-1.6941767929424,-3.7990338121966,4.798088792063,3.16305190160425,-0.82702274111434,1534.41442051583,79.4393549788852,19.4293674363718,-38.3404960055228,-0.47470638340233
RIL010,1685.02130571495,95.4696655832779,17.6498084016552,-44.3467668667602,-0.833500276596675,1625.8932720193,98.7109234618359,16.4712598666743,-37.6302834443478,0.295285639512255,1423.9628958061,72.5683058713643,19.6223803037409,-32.5022222207665,-1.00531308226536,59.1280336956499,-201.9303762132,-3.241257878558,-26.1426175904716,1.1785485349809,3.1511204370666,-6.7164834224124,5.12806122358131,-1.12878591610893,-1.30059872177761,1578.29249118012,88.9162983054927,17.9144828573568,-38.1597575106248,-0.51450923978326
RIL011,NA,NA,NA,NA,NA,1548.62523311724,87.5471893807158,17.6890342690814,-37.7544518826276,NA,1331.23499081185,88.9847850338985,14.9602540513496,-33.6762275858597,-1.39813978331278,NA,-217.39024230539,NA,1.4375956531827,NA,-2.7287802177318,NA,4.0782242967679,NA,NA,1439.93011196454,88.2659872073071,16.3246441602155,-35.7153397342436,-1.39813978331278
RIL012,1717.23122826474,72.3608652793219,23.7314910709818,-43.1355405413601,0.820373282412261,NA,NA,24.5124132079108,NA,-0.0119167521906732,1621.76179750659,51.2925754532122,NA,-32.9510800658629,-1.62783241610785,NA,NA,NA,NA,-0.780922136929,NA,NA,NA,0.832290034602934,-1.61591566391718,1669.49651288566,61.8267203662671,24.1219521394463,-38.0433103036115,-0.273125295295421
RIL013,1552.28052309141,83.4332909042975,18.6050496902006,-44.0779628133239,0.495435193322506,1419.75576322848,79.3639162472199,17.8891847877808,-37.7929018051324,-1.19280946337796,1558.18411288554,66.6059584420446,23.3940648754623,-32.8431986600096,-1.08192871210117,132.52475986293,138.42834965706,4.06937465707759,-12.7579578051753,0.715864902419803,5.5048800876815,-6.2850610081915,4.9497031451228,1.68824465670047,0.11088075127679,1510.07346640181,76.4677218645207,19.9627664511479,-38.238021092822,-0.593100994052208
