id,d13C,d15N,AmountC,AmountN,CN
1,-43.5892768786021,0.457646211020466,1341.48029337867,82.2955013450834,16.3007730854393
2,-43.9200164073783,0.0931364492315412,1652.94234890947,62.160431481779,NA
3,-44.3049018794512,1.40094070448181,1457.93837111095,79.7114176367249,18.2902075303105
4,-43.8612635768416,2.29622681767171,1476.91970966346,73.6435810349423,20.0549686599663
5,-43.2149013890486,0.401130355248346,1492.41784667073,106.100565139792,14.0660687782803
6,-42.8673158034383,1.77457922946664,1530.21781040479,89.0868781546185,17.1766913613131
7,-43.6780533209694,0.014441444250692,1450.12944506906,75.5392550370481,19.1970313230896
8,-42.6523544316682,0.925003815571579,1718.57268700983,72.5891863120868,23.6753265096688
9,-42.4725481443415,1.90966913137195,1485.34824117006,70.7260707420159,21.0014245890754
10,-44.3467668667602,-0.833500276596675,1685.02130571495,95.4696655832779,17.6498084016552
11,NA,NA,NA,NA,NA
12,-43.1355405413601,0.820373282412261,1717.23122826474,72.3608652793219,23.7314910709818
13,-44.0779628133239,0.495435193322506,1552.28052309141,83.4332909042975,18.6050496902006
14,-43.5113453277755,NA,1557.48704610798,86.2210352226645,18.0638871023271
15,-44.6100401411633,-0.0867387248580089,1602.65641509555,96.5768888167445,16.5946163179537
16,NA,1.15981917731006,1631.59921195461,60.4298623624724,NA
17,-44.4642013382706,1.41856716905244,1286.35612470908,56.573512270552,22.7377808639019
18,-44.0916138178349,1.09369160152953,1521.15028425472,81.9644564723668,18.5586576148108
19,-44.3047366089574,1.94180077428451,1590.60410088806,89.3412673192389,17.8036885821692
20,-44.2143237489167,0.542058518020618,1507.91650992868,67.26808986365,22.416520418302
21,-43.6458382720935,2.13605729454678,1496.28029553964,84.0347503705217,17.8054946190989
22,-44.2287257104385,-0.0390264021855991,1567.36599095762,100.301044195751,15.6266168864473
23,NA,NA,NA,NA,NA
24,-44.3059333053269,0.52219827083467,1428.00168537923,80.2633123495785,17.7914621709071
25,-42.6348258233952,0.995815628024911,1623.10576175189,84.1325169224268,19.292252521679
26,-44.4206873759582,0.621945004987404,1601.17688047448,93.1633124520805,17.1867749045319
27,-43.6314272871699,-0.872515302092876,1410.16426984349,77.8103239008789,18.1230998554879
28,-44.1041097104975,0.658465434856421,NA,NA,19.1461267443881
29,NA,NA,NA,NA,NA
30,NA,1.64175222051082,1802.73057406964,68.2589726867868,NA
31,-43.7636138789836,0.28835769290542,1552.26536288682,99.5707472107453,15.5895723028109
32,-43.3015028477301,0.364994155121308,1782.0631007555,92.4128586330348,19.283713620763
33,-44.2033851305495,0.984062723709842,1558.8928020418,80.3178281872052,19.4090507328998
34,-43.4782134451,0.629891956280571,1511.34369154382,74.27818861774,20.3470725345996
35,-43.5551339817803,0.666409447420081,1320.03191956859,79.0647254812944,16.6955859459842
36,-43.8437310346193,0.962185108943358,1353.00879206984,83.1507386620462,16.2717591429818
37,-43.8422701553888,0.0750901731061588,1593.61214221057,66.2158329394631,24.0669349227624
38,NA,NA,NA,NA,NA
39,-43.7520270359303,0.340228123405573,1416.35119528798,60.2162904605075,23.5210635603149
40,-44.4090141598651,1.01404581972558,1300.82784438977,64.6989268014222,20.1058643272762
41,-43.8635070204397,0.302470104378967,1739.53911409212,75.7042702619933,22.9780844339693
42,NA,NA,NA,NA,NA
43,-44.0111382712082,0.2805992960957,1373.28738540295,74.3996463743313,18.4582515149797
44,NA,NA,NA,NA,NA
45,-44.3754919788352,1.38563582215234,1513.30429804341,78.0237720456071,19.3954260139953
46,-43.7793192183375,0.631060906404469,1291.91437576281,70.1594390489217,18.4139781229147
47,-43.8940341638086,0.82165038908751,1413.29333249366,77.4971817024595,18.2367061801011
48,NA,NA,NA,NA,NA
49,-44.259391053777,0.933828570521385,1697.82161538367,85.1181929204122,19.9466360496066
50,-44.4397642070696,NA,1488.369802897,72.3810981405188,20.5629624464597
51,-43.276074694992,0.542156814172947,1519.41683331807,85.4096690712569,17.7897520250362
52,-43.4450411022371,0.347130646274722,1398.21493177958,66.2099141761513,21.1179088385409
53,-43.8303875027732,1.24635578756088,1428.22033459014,71.1174467929781,20.0825591889944
54,-44.2671059903037,2.29518944585471,1586.1390896467,78.514107635613,20.2019629008335
55,-43.1525647548693,0.0887812610688974,1310.98194226744,64.224665762035,20.4124369774828
56,-44.9599744913928,2.29766479762341,1324.2093006005,67.1789769492759,19.7116622005178
57,-44.5077676457291,0.819542527544133,1644.54290106077,87.4410330195511,18.8074505100261
58,-44.156129713367,1.36288434603689,1593.37888852588,77.9036958913551,20.4531873654367
59,-44.2349871644179,1.23316761586785,1652.62589091336,93.4714090339766,17.6805496781656
60,-43.9788676988832,0.431478980974853,1690.18983160846,87.6400369092769,19.2855901391063
61,-43.8726857006725,0.635354555276446,1588.35538535016,74.2492760134087,21.3922003099844
62,-43.1966715747336,NA,1342.61697908007,47.5629393484291,NA
63,-43.9461316034493,0.0110244239027009,1693.35522594025,71.0146140475117,23.8451655149083
64,-43.1422705812696,1.38030605700637,1477.90463070741,88.9570323951724,16.6136908000948
65,-44.3632692627227,0.877576379158472,1553.67313076789,74.3525414823447,20.8960326008065
66,-44.6353749692514,1.16345311948233,1627.70196722493,97.9967677431777,16.6097515735486
67,-43.9215730433788,2.0582069890304,1306.65297303956,69.3765283408688,18.8342225286853
