id,biomass_subamb,biomass_log_subamb,leaf_mass_subamb,leaf_mass_log_subamb,seed_mass_subamb,seed_mass_log_subamb,stem_mass_subamb,stem_mass_log_subamb,ht_flag_subamb,ht_flower_subamb,AmountC_subamb,AmountN_subamb,d13C_subamb,d15N_subamb,CN_subamb,biomass_ambient,biomass_log_ambient,leaf_mass_ambient,leaf_mass_log_ambient,seed_mass_ambient,seed_mass_log_ambient,stem_mass_ambient,stem_mass_log_ambient,ht_flag_ambient,ht_flower_ambient,AmountC_ambient,AmountN_ambient,d13C_ambient,d15N_ambient,CN_ambient,biomass_elevated,biomass_log_elevated,leaf_mass_elevated,leaf_mass_log_elevated,seed_mass_elevated,seed_mass_log_elevated,stem_mass_elevated,stem_mass_log_elevated,ht_flag_elevated,ht_flower_elevated,AmountC_elevated,AmountN_elevated,d13C_elevated,d15N_elevated,CN_elevated,AmountC_high,AmountC_low,AmountN_high,AmountN_low,CN_high,CN_low,d13C_high,d13C_low,d15N_high,d15N_low,biomass_high,biomass_low,ht_flag_high,ht_flag_low,ht_flower_high,ht_flower_low,AmountC_high2,AmountN_high2,CN_high2,d13C_high2,d15N_high2,biomass_high2,ht_flag_high2,ht_flower_high2,biomass,biomass_log,leaf_mass,leaf_mass_log,seed_mass,seed_mass_log,stem_mass,stem_mass_log,ht_flag,ht_flower,AmountC,AmountN,d13C,d15N,CN
RIL001,0.31,-1.17118298150295,0.06,-2.81341071676004,0.1,-2.30258509299405,0.14,-1.96611285637283,13,20.85,1536.12190354679,79.0895947289785,-33.5496081121557,-1.51478733826493,19.4225537355543,0.32,-1.13943428318836,0.01,-4.60517018598809,0.19,-1.66073120682165,0.12,-2.12026353620009,10.87,23.5,1376.32752534381,85.9728935369235,-37.8355684058344,-0.288467815980728,16.008854287924,0.55,-0.59783700075562,0.03,-3.50655789731998,0.3,-1.20397280432594,0.23,-1.46967597005894,11.2,24.4,1341.48029337867,82.2955013450834,-43.5892768786021,0.457646211020466,16.3007730854393,-34.8472319651401,159.79437820298,-3.6773921918401,-6.883298807945,0.291918797515301,3.4136994476303,-5.7537084727677,4.2859602936787,0.746114027001194,-1.2263195222842,0.23,-0.01,0.33,2.13,0.899999999999999,-2.65,-194.64161016812,3.2059066161049,-3.121780650115,-10.0396687664464,1.9724335492854,0.24,-1.8,3.55,0.393333333333333,-0.969484755148977,0.0333333333333333,-3.64171293335604,0.196666666666667,-1.72242970138055,0.163333333333333,-1.85201745421062,11.69,22.9166666666667,1417.97657408976,82.4526632036618,-38.3248177988641,-0.448536314408397,17.2440603696392
RIL002,0.06,-2.81341071676004,0.01,-4.60517018598809,0.04,-3.2188758248682,0.01,-4.60517018598809,6.17,13.23,1570.18239626137,57.8849390587716,-32.4709705539045,-1.05017549321871,27.1259229394219,0.28,-1.27296567581289,0.01,-4.60517018598809,0.2,-1.6094379124341,0.07,-2.65926003693278,8.17,18.73,1751.85874343697,78.4800487070355,-36.676394986322,0.494887253555376,22.3223452622542,0.21,-1.56064774826467,0.01,-4.60517018598809,0.15,-1.89711998488588,0.05,-2.99573227355399,7.23,15.6,1652.94234890947,62.160431481779,-43.9200164073783,0.0931364492315412,NA,-98.9163945275,-181.6763471756,-16.3196172252565,-20.5951096482639,NA,4.8035776771677,-7.2436214210563,4.2054244324175,-0.401750804323835,-1.54506274677409,-0.07,-0.22,-0.94,-2,-3.13,-5.5,82.7599526480999,4.2754924230074,NA,-11.4490458534738,1.14331194245025,0.15,1.06,2.37,0.183333333333333,-1.8823413802792,0.01,-4.60517018598809,0.13,-2.24181124072939,0.0433333333333333,-3.42005416549162,7.19,15.8533333333333,1658.32782953594,66.1751397491954,-37.6891273158683,-0.154050596810598,24.7241341008381
RIL003,0.12,-2.12026353620009,0.02,-3.91202300542815,0.07,-2.65926003693278,0.03,-3.50655789731998,8.7,17.57,1586.17481547062,89.5564067966606,-33.1570547938029,-2.33944285417981,17.7114611026329,0.75,-0.287682072451781,0.06,-2.81341071676004,0.39,-0.941608539858445,0.3,-1.20397280432594,14.57,27.4,1593.58457594668,69.7230390071603,-37.9011060463597,-0.502919018938521,22.8559253675535,1.08,0.0769610411361284,0.05,-2.99573227355399,0.63,-0.462035459596559,0.4,-0.916290731874155,11.23,25.73,1457.93837111095,79.7114176367249,-44.3049018794512,1.40094070448181,18.2902075303105,-135.64620483573,-7.40976047606,9.98837862956461,19.8333677895003,-4.565717837243,-5.1444642649206,-6.4037958330915,4.7440512525568,1.90385972342033,-1.83652383524129,0.33,-0.63,-3.34,-5.87,-1.67,-9.83,-128.23644435967,-9.84498915993569,0.578746427677601,-11.1478470856483,3.74038355866162,0.96,2.53,8.16,0.65,-0.776994855838581,0.0433333333333333,-3.24038866524739,0.363333333333333,-1.35430134546259,0.243333333333333,-1.87560714450669,11.5,23.5666666666667,1545.89925417608,79.6636211468486,-38.4543542398713,-0.48047372287884,19.6191980001656
RIL004,0.04,-3.2188758248682,0,NA,0.03,-3.50655789731998,0.01,-4.60517018598809,6.65,11.1,NA,NA,NA,NA,NA,0.39,-0.941608539858445,0.02,-3.91202300542815,0.26,-1.34707364796661,0.11,-2.20727491318972,9.15,22.3,1436.0302467292,73.9902724661633,-37.2095660726285,NA,19.4083654359553,0.26,-1.34707364796661,0.01,-4.60517018598809,0.18,-1.71479842809193,0.08,-2.52572864430826,7.83,20.33,1476.91970966346,73.6435810349423,-43.8612635768416,2.29622681767171,20.0549686599663,40.8894629342601,NA,-0.346691431221004,NA,0.646603224010999,NA,-6.6516975042131,NA,NA,NA,-0.13,-0.35,-1.32,-2.5,-1.97,-11.2,NA,NA,NA,NA,NA,0.22,1.18,9.23,0.23,-1.83585267089775,0.01,-4.25859659570812,0.156666666666667,-2.18947665779284,0.0666666666666667,-3.11272458116202,7.87666666666667,17.91,1456.47497819633,73.8169267505528,-40.535414824735,2.29622681767171,19.7316670479608
RIL005,0.19,-1.66073120682165,0.02,-3.91202300542815,0.11,-2.20727491318972,0.06,-2.81341071676004,11.85,20.8,1399.31054152666,82.6929229729453,-33.5153968709848,-2.8632271409004,16.9217690126212,0.61,-0.49429632181478,0.16,-1.83258146374831,0.16,-1.83258146374831,0.29,-1.23787435600162,20,31.3,1477.63641254274,91.3891749381939,-37.7618285734713,1.00540484603994,16.1686153041873,0.27,-1.30933331998376,0.02,-3.91202300542815,0.19,-1.66073120682165,0.06,-2.81341071676004,7.3,17.8,1492.41784667073,106.100565139792,-43.2149013890486,0.401130355248346,14.0660687782803,14.78143412799,-78.3258710160799,14.7113902015981,-8.69625196524861,-2.102546525907,0.753153708433903,-5.4530728155773,4.2464317024865,-0.604274490791594,-3.86863198694034,-0.34,-0.42,-12.7,-8.15,-13.5,-10.5,93.1073051440699,23.4076421668467,-2.8557002343409,-9.6995045180638,3.26435749614875,0.08,-4.55,-3,0.356666666666667,-1.15478694954006,0.0666666666666667,-3.2188758248682,0.153333333333333,-1.90019586125323,0.136666666666667,-2.28823192984057,13.05,23.3,1456.45493358004,93.3942210169771,-38.1640422778349,-0.485563979870705,15.7188176983629
RIL006,0.24,-1.42711635564015,0.05,-2.99573227355399,0.09,-2.40794560865187,0.09,-2.40794560865187,13.3,22.1,1597.99208611665,115.381097319257,-32.9541845674012,-2.46241397353957,13.8496870219135,0.51,-0.673344553263766,0.4,-0.916290731874155,0.06,NA,0.27,-1.30933331998376,17.05,32.5,1542.77469755369,89.2062622518135,-38.1567085829426,-0.218594585055944,17.2944663144692,0.59,-0.527632742082372,0.03,-3.50655789731998,0.36,-1.02165124753198,0.2,-1.6094379124341,13.5,26.8,1530.21781040479,89.0868781546185,-42.8673158034383,1.77457922946664,17.1766913613131,-12.5568871488999,55.21738856296,-0.119384097194995,26.1748350674435,-0.117774953156101,-3.4447792925557,-4.7106072204957,5.2025240155414,1.99317381452258,-2.24381938848363,0.08,-0.27,-3.55,-3.75,-5.7,-10.4,-67.7742757118599,-26.2942191646385,3.3270043393996,-9.9131312360371,4.23699320300621,0.35,0.199999999999999,4.7,0.446666666666667,-0.876031216995429,0.16,-2.47286030091604,0.17,-1.71479842809193,0.186666666666667,-1.77557228035658,14.6166666666667,27.1333333333333,1556.99486469171,97.8914125752297,-37.9927363179274,-0.302143109709625,16.1069482325653
RIL007,0.06,-2.81341071676004,0,NA,0.04,-3.2188758248682,0.02,-3.91202300542815,7.23,12.83,1614.41037326744,51.4375436146701,-32.5662397357334,-0.93079348866605,NA,0.22,-1.51412773262978,0.01,-4.60517018598809,0.15,-1.89711998488588,0.06,-2.81341071676004,18.5,26.53,1371.83721721307,76.0262819023784,-36.6774435082839,-2.04358960481673,18.0442497368814,0.3,-1.20397280432594,0.01,-4.60517018598809,0.21,-1.56064774826467,0.08,-2.52572864430826,8.23,19.6,1450.12944506906,75.5392550370481,-43.6780533209694,0.014441444250692,19.1970313230896,78.2922278559899,242.57315605437,-0.487026865330307,-24.5887382877083,1.1527815862082,NA,-7.0006098126855,4.1112037725505,2.05803104906742,1.11279611615068,0.08,-0.16,-10.27,-11.27,-6.93,-13.7,-164.28092819838,24.101711422378,NA,-11.111813585236,0.945234932916742,0.24,1,6.77,0.193333333333333,-1.84383708457192,0.00666666666666667,-4.60517018598809,0.133333333333333,-2.22554785267292,0.0533333333333333,-3.08372078883215,11.32,19.6533333333333,1478.79234518319,67.6676935180322,-37.6405788549956,-0.986647216410696,18.6206405299855
RIL008,0.15,-1.89711998488588,0.02,-3.91202300542815,0.08,-2.52572864430826,0.05,-2.99573227355399,12.25,20.7,1374.45548925497,82.9546517963594,-33.420131007266,-3.12011448251763,16.5687572606422,0.36,-1.02165124753198,0.01,-4.60517018598809,0.24,-1.42711635564015,0.1,-2.30258509299405,11.23,21.53,1618.89421908842,74.6373555361025,-37.5509887368481,1.27069677952509,21.6901336798482,0.18,-1.71479842809193,0.01,-4.60517018598809,0.12,NA,0.05,-2.99573227355399,9.27,18.13,1718.57268700983,72.5891863120868,-42.6523544316682,0.925003815571579,23.6753265096688,99.6784679214099,-244.43872983345,-2.04816922401571,8.3172962602569,1.9851928298206,-5.121376419206,-5.1013656948201,4.1308577295821,-0.345692963953511,-4.39081126204272,-0.18,-0.21,-1.96,1.02,-3.4,-0.830000000000002,344.11719775486,-10.3654654842726,7.1065692490266,-9.2322234244022,4.04511829808921,0.03,-2.98,-2.57,0.23,-1.54452322016993,0.0133333333333333,-4.37412112580144,0.146666666666667,-1.97642249997421,0.0666666666666667,-2.76468321336734,10.9166666666667,20.12,1570.64079845107,76.7270645481829,-37.8744913919274,-0.308137962473654,20.6447391500531
RIL009,0.2,-1.6094379124341,0.02,-3.91202300542815,0.12,-2.12026353620009,0.06,-2.81341071676004,9.8,17.3,1560.36610224921,87.6794864988685,-33.8754255400819,-2.08040551134664,17.7962504635488,1.47,0.385262400790645,0.32,-1.13943428318836,0.47,-0.755022584278033,0.68,-0.385662480811985,24.03,36.33,1557.52891812822,79.9125076957713,-38.6735143321449,-1.2533827702323,19.4904272564912,0.41,-0.891598119283784,0.03,-3.50655789731998,0.19,-1.66073120682165,0.2,-1.6094379124341,10.27,21.6,1485.34824117006,70.7260707420159,-42.4725481443415,1.90966913137195,21.0014245890754,-72.1806769581601,2.83718412098983,-9.18643695375539,7.7669788030972,1.5109973325842,-1.6941767929424,-3.7990338121966,4.798088792063,3.16305190160425,-0.82702274111434,-1.06,-1.27,-13.76,-14.23,-14.73,-19.03,-75.01786107915,-16.9534157568526,3.2051741255266,-8.5971226042596,3.99007464271859,0.21,0.469999999999999,4.3,0.693333333333333,-0.705257876975746,0.123333333333333,-2.8526717286455,0.26,-1.51200577576659,0.313333333333333,-1.60283703666871,14.7,25.0766666666667,1534.41442051583,79.4393549788852,-38.3404960055228,-0.47470638340233,19.4293674363718
RIL010,0.08,-2.52572864430826,0.01,-4.60517018598809,0.05,-2.99573227355399,0.02,-3.91202300542815,7.13,13.73,1423.9628958061,72.5683058713643,-32.5022222207665,-1.00531308226536,19.6223803037409,0.39,-0.941608539858445,0.03,-3.50655789731998,0.23,-1.46967597005894,0.13,-2.04022082852655,10.2,21.87,1625.8932720193,98.7109234618359,-37.6302834443478,0.295285639512255,16.4712598666743,0.83,-0.186329578191493,0.06,-2.81341071676004,0.46,-0.776528789498996,0.31,-1.17118298150295,13.93,28.3,1685.02130571495,95.4696655832779,-44.3467668667602,-0.833500276596675,17.6498084016552,59.1280336956499,-201.9303762132,-3.241257878558,-26.1426175904716,1.1785485349809,3.1511204370666,-6.7164834224124,5.12806122358131,-1.12878591610893,-1.30059872177761,0.44,-0.31,3.73,-3.07,6.43,-8.14,261.05840990885,22.9013597119136,-1.9725719020857,-11.8445446459937,0.171812805668685,0.75,6.8,14.57,0.433333333333333,-1.21788892078607,0.0333333333333333,-3.64171293335604,0.246666666666667,-1.74731234437064,0.153333333333333,-2.37447560515255,10.42,21.3,1578.29249118012,88.9162983054927,-38.1597575106248,-0.51450923978326,17.9144828573568
