id,biomass,biomass_log,leaf_mass,leaf_mass_log,seed_mass,seed_mass_log,stem_mass,stem_mass_log,ht_flag,ht_flower,AmountC,AmountN,d13C,d15N,CN
94,0.13,-2.04022082852655,0.01,-4.60517018598809,0.08,-2.52572864430826,0.04,-3.2188758248682,10.15,18.7,1641.32581565662,91.3016308929507,-33.5285069453367,-1.7595358730106,17.9769605384272
95,0.31,-1.17118298150295,0.04,-3.2188758248682,0.17,-1.77195684193188,0.1,-2.30258509299405,12.27,23.1,1538.3384441628,97.9968624461363,-33.8752035041894,-2.78362202840685,15.6978336424632
96,0.21,-1.56064774826467,0.03,-3.50655789731998,0.12,-2.12026353620009,0.06,-2.81341071676004,9.87,17.77,1683.34570278537,104.127189635907,-34.108974408337,-1.53982035219227,16.1662454222705
97,0.14,-1.96611285637283,0.01,-4.60517018598809,0.09,-2.40794560865187,0.04,-3.2188758248682,8.87,15.97,1321.88904426909,70.9187754764791,-33.5906530394753,-0.811379973434112,18.6394792547921
98,0.18,-1.71479842809193,0.02,-3.91202300542815,0.09,-2.40794560865187,0.06,-2.81341071676004,10.97,19.77,1601.00210583445,91.8274961687547,-33.7299540578209,-2.4098074918728,17.4348879435004
99,NA,-0.510825623765991,NA,-1.6094379124341,0.11,-2.20727491318972,NA,-1.23787435600162,17,26.25,1596.11259975497,117.904679230137,-33.6680657352665,-1.11673472372363,13.5373134482604
100,0.19,-1.66073120682165,0.03,-3.50655789731998,0.09,-2.40794560865187,0.07,-2.65926003693278,12.53,17.97,1402.52717074826,73.9348186169953,-33.77133760428,-0.662460595379498,18.9697790159434
101,0.09,-2.40794560865187,0.01,-4.60517018598809,0.06,-2.81341071676004,0.02,-3.91202300542815,7.3,15.83,1611.30499423952,78.4811773286046,-32.8670584013601,-1.53352896365136,20.5311012026859
102,0.07,-2.65926003693278,0.01,-4.60517018598809,0.05,-2.99573227355399,0.01,-4.60517018598809,6.23,11.37,1406.18510242026,43.5751858872876,-33.500835812895,NA,NA
103,0.11,-2.20727491318972,0.01,-4.60517018598809,0.07,-2.65926003693278,0.03,-3.50655789731998,8.63,15.47,1603.56457540401,96.6069879302957,-33.3157498484342,-2.57413269887043,16.5988466234039
104,0.19,-1.66073120682165,0.03,-3.50655789731998,0.11,-2.20727491318972,0.06,-2.81341071676004,11.5,18.35,1310.04491485992,80.1213960926058,-33.143628940604,-1.63072576260177,16.3507499712779
105,0.18,-1.71479842809193,0.01,-4.60517018598809,0.11,-2.20727491318972,0.05,-2.99573227355399,11.3,20.03,1551.64279975839,86.5354058652965,-33.3677061498964,-2.15351042671798,17.9307277089995
106,0.07,-2.65926003693278,0.01,-4.60517018598809,0.05,-2.99573227355399,0.02,-3.91202300542815,5.3,11.17,1454.56360777535,83.1919824641697,-32.8164807268037,-1.7462513622648,17.4844205498026
107,0.13,-2.04022082852655,0.01,-4.60517018598809,0.09,-2.40794560865187,0.04,-3.2188758248682,9.83,17.77,1373.02131171868,87.2639092056578,-32.8873970675874,-2.06826406579923,15.7341256450342
108,0.11,-2.20727491318972,0.01,-4.60517018598809,0.08,-2.52572864430826,0.02,-3.91202300542815,5.3,12.17,NA,84.3747385461534,-33.1757095956908,-1.07835006355706,23.3161610251172
109,0.16,-1.83258146374831,0.01,-4.60517018598809,0.09,-2.40794560865187,0.05,-2.99573227355399,9.6,19.45,1777.27093914032,97.0889737968116,-33.1223486950791,-1.0654886529167,18.3055899103415
110,0.24,-1.42711635564015,0.04,-3.2188758248682,0.12,-2.12026353620009,0.08,-2.52572864430826,11.13,20.9,1466.45535726182,89.4356294726255,-33.4278984800388,-2.22187593608162,16.3967690048033
111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
